Open,High,Low,Close,Adjusted Closing Amount,Volume Traded (in Millions)
27.8475,27.860001,26.8375,27.3325,24.745996,0.0002128184
27.0725,27.1625,26.352501,26.5625,24.048864,0.00025714199999999997
26.635,26.8575,26.157499,26.565001,24.051125,0.0002631884
26.799999,27.049999,26.674999,26.9375,24.388372,0.0001604236
27.307501,28.0375,27.174999,27.9725,25.32543,0.000237458
28.1675,28.3125,27.5525,28.002501,25.352596,0.000214798
28.15,28.157499,27.200001,27.3125,24.727888,0.00019860319999999998
27.8575,28.200001,27.227501,27.555,24.947441,0.0002683676
27.26,27.622499,27.125,27.450001,24.852381,0.00019582640000000002
27.5,27.514999,26.665001,26.705,24.177874,0.00024005600000000002
26.7575,26.895,26.299999,26.497499,23.990015,0.0003140532
26.959999,27.2425,26.625,27.18,24.607925,0.0001995996
27.237499,27.764999,27.067499,27.387501,24.795801,0.0001943036
27.565001,28.1175,27.43,28.1,25.440866,0.0002151856
28.075001,28.4375,27.8825,28.245001,25.572142,0.00018585919999999998
28.434999,28.59,28.200001,28.275,25.599306,0.00022246
28.105,28.120001,27.2575,27.285,24.70299,0.00038227480000000005
29.407499,29.530001,28.827499,28.827499,26.09952,0.0005859084
29.08,29.797501,28.889999,29.725,26.912094,0.0003377456
29.6,30.0,29.2125,29.290001,26.518259,0.00033498200000000005
29.512501,29.7925,29.02,29.657499,26.850985,0.0002509564
29.625,29.772499,29.4025,29.6625,26.855499,0.0002076628
29.625,30.127501,29.577499,29.889999,27.061476,0.00028059879999999996
30.004999,30.057501,29.8125,29.985001,27.254635,0.0001689848
30.004999,30.0625,29.612499,29.7325,27.025118,0.0001748264
29.637501,29.959999,29.6075,29.93,27.204636,0.0001555592
30.0425,30.5375,30.040001,30.504999,27.727276,0.000248034
30.692499,31.23,30.625,31.219999,28.377174,0.00029424720000000004
31.514999,31.870001,31.3925,31.615,28.736198,0.000297898
31.82,31.82,31.4125,31.77,28.877089,0.0002170888
31.872499,32.220001,31.73,31.9575,29.047516,0.0002526096
31.907499,32.195,31.862499,32.18,29.249762,0.0001795668
32.119999,32.2575,32.0825,32.112499,29.1884,0.0001494496
32.154999,32.375,32.012501,32.375,29.426998,0.0001957936
32.505001,33.25,32.415001,33.25,30.222326,0.00028389640000000004
33.235001,33.400002,32.7925,33.0425,30.033722,0.0002769124
32.889999,32.900002,32.037498,32.197498,29.265663,0.00029884679999999997
32.197498,32.717499,31.6525,32.605,29.636061,0.00036514999999999996
32.5,32.642502,32.060001,32.115002,29.190678,0.0002480592
32.3125,32.57,32.075001,32.272499,29.333834,0.00019238679999999999
32.240002,32.380001,32.022499,32.34,29.395187,0.0001512652
32.275002,32.389999,32.080002,32.134998,29.208851,0.0001266652
32.145,32.1875,31.440001,31.602501,28.724842,0.0002260684
32.099998,32.342499,31.565001,31.65,28.768019,0.0002913684
31.99,32.392502,31.264999,31.785,28.890726,0.000354114
31.602501,31.805,30.950001,31.127501,28.293097,0.0002754264
31.1875,31.192499,30.5275,30.559999,27.777269,0.000275756
30.577499,31.225,30.407499,31.112499,28.279457,0.0001934508
31.1,31.35,30.645,30.897499,28.084036,0.00020730920000000002
30.969999,31.237499,30.717501,31.237499,28.393076,0.00014349719999999999
31.475,31.83,31.4125,31.76,28.867992,0.0002040924
31.75,32.290001,31.592501,32.1175,29.192947,0.0002610836
32.1875,32.3125,31.85,31.875,28.972532,0.000183238
32.0625,32.099998,31.290001,31.475,28.608955,0.0002747804
31.780001,31.9625,31.629999,31.8025,28.90663,0.00015083879999999998
31.807501,32.009998,31.639999,31.672501,28.788467,0.0001313692
31.635,31.705,30.844999,30.844999,28.03632,0.0002066208
30.690001,31.219999,30.65,31.059999,28.231739,0.0001902916
31.1425,31.174999,30.727501,30.8125,28.006777,0.0001581848
31.012501,31.6,31.0,31.592501,28.715757,0.0001883988
31.522499,31.622499,31.09,31.1075,28.274914,0.0001683624
31.205,31.280001,30.775,31.0625,28.234015,0.00016248560000000002
31.2575,31.389999,31.047501,31.33,28.477158,0.0001288804
31.1175,31.877501,31.0825,31.8375,28.938442,0.000148776
31.91,32.029999,31.495001,31.502501,28.633947,0.00014004920000000001
31.4625,31.6,31.2425,31.4,28.540785,0.0001493168
31.4625,31.645,31.165001,31.639999,28.758928,0.000129936
31.487499,31.8025,31.315001,31.775,28.881636,0.000160752
32.092499,32.142502,31.6525,31.7125,28.824829,0.00014546039999999998
31.75,31.8225,31.477501,31.575001,28.699842,0.0001020984
31.602501,31.782499,31.502501,31.695,28.808918,0.00011588160000000001
31.57,31.775,31.5275,31.5425,28.670309,0.000113476
31.387501,31.535,31.115,31.1875,28.347631,0.000207828
31.3925,32.029999,31.2925,31.9,28.995249,0.0001882172
32.025002,32.049999,31.6675,31.727501,28.838459,0.0001297404
31.747499,32.217499,31.58,32.154999,29.227022,0.000150618
32.075001,32.605,32.035,32.4175,29.46563,0.0001830836
32.622501,32.657501,32.307499,32.57,29.604239,0.0001781036
33.077499,33.282501,32.787498,33.162498,30.142792,0.0003878168
33.615002,33.634998,32.392502,32.639999,29.667873,0.000475696
32.540001,32.897499,32.075001,32.16,29.231573,0.0002535444
32.16,32.16,31.145,31.2875,28.438528,0.0003327816
31.525,32.532501,31.325001,32.237499,29.302019,0.0002340504
32.375,32.642502,32.064999,32.174999,29.245214,0.0002039532
32.037498,32.112499,31.445,31.450001,28.586231,0.0001970856
31.639999,31.6875,30.84,31.252501,28.406712,0.000288564
31.192499,31.52,31.004999,31.315001,28.582413,0.0001757636
31.67,31.905001,31.5275,31.905001,29.120928,0.0002222016
31.8475,31.889999,31.407499,31.58,28.824289,0.0001681432
31.4,31.719999,31.205,31.467501,28.721605,0.00019264
31.5375,31.797501,31.467501,31.502501,28.753557,0.00013877680000000002
31.852501,32.237499,31.790001,32.237499,29.424417,0.00018081399999999998
32.267502,32.372501,32.052502,32.192501,29.383341,0.000152832
32.095001,32.68,32.09,32.547501,29.707371,0.0002035316
32.672501,32.720001,32.41,32.517502,29.679989,0.00017853280000000002
32.5,32.744999,32.334999,32.514999,29.677698,0.0001458196
32.517502,32.907501,32.4575,32.8475,29.981186,0.0001589216
32.900002,33.2425,32.849998,33.134998,30.243601,0.00018238399999999998
33.150002,33.227501,32.279999,32.404999,29.577299,0.00028279039999999997
32.584999,33.064999,32.512501,33.009998,30.129511,0.0001833328
32.965,32.987499,32.775002,32.945,30.070177,0.0001229332
32.807499,32.862499,32.474998,32.57,29.727905,0.00020353800000000002
32.57,32.8475,32.512501,32.634998,29.787228,0.0001284512
32.465,32.665001,32.330002,32.490002,29.654886,0.0001346704
32.665001,32.735001,32.474998,32.529999,29.691391,0.000123934
32.395,32.645,32.227501,32.34,29.517973,0.0001538004
32.375,32.422501,32.09,32.162498,29.355963,0.0001425072
32.224998,32.302502,31.7075,31.950001,29.162001,0.0002106992
31.674999,32.02,31.405001,31.855,29.075293,0.0002243016
31.98,32.334999,31.9625,32.220001,29.408442,0.0001563492
32.294998,32.544998,32.119999,32.147499,29.34227,0.0001415636
32.047501,32.0825,31.7775,31.7925,29.018253,0.0001475448
31.525,31.809999,31.4275,31.73,28.961205,0.0001759556
31.7575,31.9625,31.592501,31.9,29.116364,0.0001259764
31.93,31.969999,31.684999,31.825001,29.047909,0.00013167240000000002
31.807501,32.077499,31.805,31.969999,29.180264,0.0001416288
31.9275,31.955,31.6,31.65,28.888182,0.00021886760000000002
31.872499,32.014999,31.77,31.9025,29.118649,0.0001361572
31.870001,31.9025,31.719999,31.7575,28.986301,0.00012107559999999999
31.8025,32.450001,31.780001,32.0275,29.232738,0.0002211236
32.215,32.299999,31.875,31.875,29.093544,0.0001277524
31.9175,31.997499,31.627501,31.6875,28.922409,0.0001762672
31.365,31.6175,31.120001,31.1325,28.415836,0.0001966456
31.3925,31.530001,31.215,31.3575,28.621204,0.0001774828
31.725,31.735001,31.497499,31.65,28.888182,0.00012095520000000001
31.6075,31.672501,31.442499,31.610001,28.851677,0.00010884399999999999
31.235001,31.557501,31.2125,31.5,28.75127,0.0001122416
31.4725,31.5375,30.942499,31.422501,28.680536,0.0001877872
31.120001,31.16,30.635,30.6425,27.968597,0.00024304640000000002
30.9625,31.014999,29.805,30.0175,27.398134,0.00031438
30.485001,30.9625,30.3025,30.82,28.130606,0.000245418
31.2575,31.440001,31.08,31.415001,28.673687,0.000165762
31.51,31.592501,31.26,31.4025,28.662273,0.0001270724
31.43,31.7875,31.395,31.705,28.938383,0.0001345968
31.934999,32.142502,31.8375,32.127499,29.324017,0.0001448896
32.27,32.404999,32.077499,32.404999,29.577299,0.0001846588
32.7425,33.2425,32.674999,33.017502,30.136354,0.00023560079999999998
33.212502,33.23,32.580002,32.6875,29.835146,0.0003070256
30.497499,31.375,30.497499,31.305,28.573292,0.00046180239999999995
31.549999,31.772499,31.264999,31.290001,28.559597,0.000203998
31.33,31.434999,30.975,31.125,28.408995,0.0001686492
30.772499,30.9025,30.530001,30.692499,28.014235,0.000177822
30.844999,30.977501,30.637501,30.844999,28.153429,0.00013447239999999998
30.7875,30.875,30.567499,30.747499,28.064432,0.0001480468
30.58,30.6425,30.4275,30.592501,27.922962,0.00013451320000000002
30.65,30.66,30.227501,30.325001,27.678802,0.00017154
30.375,30.6425,29.379999,29.610001,27.026205,0.000279904
29.355,29.424999,28.3125,28.66,26.159094,0.0004965544
28.237499,29.360001,28.025,28.85,26.332514,0.0003972504
28.9925,29.125,28.530001,28.782499,26.389818,0.000211612
28.645,29.0625,28.625,28.879999,26.479212,0.0001546816
29.1325,29.997499,29.1325,29.93,27.441927,0.0002198064
29.452499,29.545,28.3325,28.372499,26.013899,0.0003883312
28.1325,28.855,27.407499,28.809999,26.415031,0.00040487
29.01,29.1,28.635,28.7875,26.394403,0.00019414320000000002
28.58,29.077499,28.502501,28.99,26.580072,0.00017171799999999998
29.01,29.4125,28.875,29.290001,26.855129,0.00016353880000000002
29.1075,29.360001,29.002501,29.125,26.703844,0.00013824279999999998
29.025,29.129999,28.67,28.752501,26.36232,0.000193146
28.52,28.5875,27.907499,28.1625,25.821362,0.0002740064
27.6075,27.975,26.4125,26.440001,24.24205,0.000513102
23.717501,27.200001,23.0,25.780001,23.636913,0.0006488252
27.7775,27.7775,25.875,25.934999,23.77903,0.0004144064
26.772499,27.4725,26.262501,27.422501,25.142878,0.00038709840000000003
28.057501,28.309999,27.504999,28.23,25.883244,0.0003384644
28.0425,28.327499,27.885,28.3225,25.968058,0.0002126576
28.0075,28.6325,28.0,28.190001,25.846569,0.0002249172
27.5375,27.969999,26.84,26.93,24.691317,0.0003073836
27.557501,28.084999,27.282499,28.084999,25.750303,0.0002475552
28.122499,28.195,27.51,27.592501,25.298746,0.0002129356
27.2425,27.612499,27.127501,27.317499,25.046597,0.0001999852
27.9375,28.139999,27.58,28.077499,25.743425,0.00021937440000000002
28.440001,28.504999,27.442499,27.5375,25.248314,0.0003400432
27.567499,28.32,27.475,28.1425,25.803019,0.0002515712
27.9475,28.5525,27.940001,28.5525,26.178938,0.000199662
29.145,29.2225,28.715,28.827499,26.431074,0.0002334536
28.9825,29.1325,28.605,29.07,26.653418,0.0001733648
29.0625,29.135,28.860001,29.102501,26.683214,0.000148694
28.915001,29.122499,28.43,28.48,26.112465,0.0002564504
28.0525,28.575001,27.967501,28.362499,26.004728,0.0002971412
28.4175,28.842501,28.415001,28.8025,26.408154,0.000200888
28.344999,28.545,28.129999,28.35,25.993275,0.0002013848
28.407499,28.68,28.325001,28.58,26.204147,0.0001430268
28.3125,28.875,28.092501,28.75,26.36002,0.00020087799999999998
29.110001,29.172501,28.504999,28.6775,26.293549,0.0002246076
28.4625,28.6425,28.110001,28.110001,25.773222,0.000208436
28.2075,28.377501,26.965,27.264999,24.998468,0.0002934616
27.5425,27.885,27.182501,27.575001,25.282696,0.000265892
27.2675,27.405001,26.827499,27.395,25.117659,0.0002557164
27.002501,27.752501,26.887501,27.594999,25.301033,0.00023207919999999999
27.469999,27.842501,27.2675,27.695,25.392723,0.0002082588
27.657499,27.934999,27.442499,27.827499,25.514214,0.00019278720000000002
27.934999,27.942499,27.352501,27.695,25.392723,0.0001870624
27.547501,27.547501,27.0525,27.375,25.099319,0.0002479184
27.5,28.07,27.372499,28.030001,25.699871,0.0002110644
28.182501,28.1875,27.860001,27.9,25.580681,0.0001218688
27.705,28.112499,27.67,27.9475,25.624231,0.0001321972
27.8225,27.879999,27.389999,27.5525,25.262068,0.0001778496
27.7325,28.025,27.622499,27.965,25.640276,0.000150694
27.945,28.0,27.6325,27.76,25.452316,0.0001569304
27.700001,27.9375,27.5275,27.932501,25.610481,0.0001190368
27.834999,28.5425,27.705,28.442499,26.078081,0.00019587119999999998
28.5,28.895,28.424999,28.440001,26.075788,0.0001671808
28.5825,28.875,28.525,28.875,26.474628,0.0001666164
29.174999,29.807501,29.0825,29.77,27.295229,0.0002374676
29.52,29.532499,28.73,28.82,26.4242,0.00026533519999999997
28.85,29.135,28.497499,28.637501,26.25687,0.0002795376
29.2325,29.825001,29.014999,29.817499,27.338779,0.0003422056
29.674999,30.172501,29.567499,30.1325,27.627592,0.00020490919999999999
30.247499,30.305,29.862499,29.875,27.391502,0.0001974612
30.200001,30.34,29.9025,30.295,27.776585,0.0001288132
30.1975,30.872499,30.174999,30.6425,28.095192,0.00018207599999999998
30.782499,30.955,30.405001,30.5,27.964542,0.0001795444
30.4625,30.672501,30.045,30.23,27.835629,0.0001582108
30.2775,30.452499,30.155001,30.264999,27.867861,0.0001321692
30.24,30.452499,30.012501,30.1425,27.75506,0.0001354856
29.225,29.5175,29.014999,29.192499,26.88031,0.0002365116
29.092501,29.355,28.8025,29.0275,26.728371,0.00018087200000000003
29.065001,29.205,28.9125,28.93,26.638597,0.0001301024
28.799999,28.8925,28.067499,28.084999,25.860525,0.00018324959999999998
27.844999,28.559999,27.75,28.545,26.284096,0.0001524268
28.73,28.762501,28.33,28.422501,26.171295,0.0001104676
28.940001,29.372499,28.875,29.3225,27.000011,0.0001866988
29.41,29.9375,29.190001,29.695,27.343008,0.0001731832
29.799999,29.98,29.7125,29.825001,27.462706,0.0001371484
29.817499,29.932501,29.334999,29.4375,27.105907,0.00012993
29.3325,29.8375,29.280001,29.719999,27.366024,0.0001712128
29.8025,29.807501,29.48,29.5075,27.170357,8.55532e-05
29.5725,29.602501,29.4,29.452499,27.119713,5.2185600000000004e-05
29.497499,29.852501,29.4375,29.575001,27.232508,0.0001567212
29.6875,29.702499,29.215,29.334999,27.011518,0.00013940960000000002
29.334999,29.5275,29.02,29.07,26.767508,0.0001335464
29.137501,29.1975,28.555,28.799999,26.518896,0.00016627799999999998
28.8225,29.8125,28.7775,29.7575,27.400555,0.000231108
29.745001,29.965,29.452499,29.57,27.227905,0.0001283368
29.379999,29.65,29.215,29.557501,27.216394,0.000137238
29.41,29.422501,28.77,28.905001,26.61558,0.00018544560000000003
29.01,29.235001,28.877501,29.0425,26.742188,0.00011685080000000001
28.797501,28.8475,28.2125,28.295,26.053888,0.00018754480000000002
28.045,28.17,27.4475,28.120001,25.892748,0.00025727480000000005
27.985001,28.200001,27.5875,27.622499,25.434656,0.0002132924
27.7675,27.997499,27.200001,27.834999,25.630325,0.000224954
28.004999,28.0625,27.245001,27.245001,25.087061,0.0001790912
27.227501,27.379999,26.452499,26.5075,24.407967,0.0003858132
26.82,26.842501,26.3925,26.8325,24.707233,0.00019036240000000002
26.85,26.93,26.612499,26.807501,24.684206,0.0001311576
26.817499,27.2125,26.799999,27.1525,25.001886,0.00013062960000000001
27.25,27.25,26.987499,27.0075,24.868372,5.42816e-05
26.897499,26.922501,26.545,26.705,24.589828,0.0001068168
26.74,27.3575,26.715,27.184999,25.031807,0.0001237248
27.145,27.174999,26.795,26.83,24.704931,0.0001008552
26.752501,26.7575,26.205,26.315001,24.230719,0.00016364920000000002
25.6525,26.342501,25.5,26.3375,24.251438,0.0002705976
26.4375,26.4625,25.602501,25.6775,23.643707,0.00022316399999999998
25.139999,25.592501,24.967501,25.174999,23.181009,0.00027382960000000005
24.67,25.032499,24.1075,24.112499,22.202669,0.0003243776
24.637501,24.7775,24.190001,24.24,22.320068,0.000283192
24.7425,24.764999,24.334999,24.6325,22.681482,0.0001989576
25.137501,25.172501,24.709999,24.99,23.010664,0.00019661680000000002
25.08,25.297501,24.325001,24.3475,22.41905,0.0002497584
24.49,25.120001,23.934999,24.879999,22.909378,0.0002526804
24.049999,24.4275,23.84,24.282499,22.359198,0.0003193356
24.602501,24.6625,23.875,24.165001,22.251013,0.00021235079999999999
23.775,24.547501,23.355,24.1975,22.280935,0.0002893376
24.264999,24.469999,23.735001,24.075001,22.16814,0.000208646
24.657499,25.365,24.592501,25.355,23.346752,0.000263202
25.379999,25.3825,24.8025,24.860001,22.890966,0.000207178
24.9825,25.219999,24.5175,24.997499,23.01757,0.000300308
24.01,24.157499,23.334999,23.355,21.505165,0.0005334787999999999
23.4475,23.629999,23.0975,23.522499,21.659403,0.0002227152
23.6975,24.334999,23.5875,24.334999,22.407541,0.000257666
24.1175,24.1775,23.85,24.1075,22.198065,0.000163774
23.855,24.01,23.57,23.620001,21.74918,0.0001494288
23.75,24.209999,23.52,24.0875,22.179647,0.0001838572
23.965,24.3325,23.797501,24.15,22.357861,0.0001858868
24.129999,24.23,23.422501,23.504999,21.760721,0.0001856724
23.282499,23.924999,23.26,23.752501,21.989862,0.0002160856
23.5725,23.985001,23.4825,23.747499,21.985233,0.0001773248
23.98,24.0875,23.525,23.567499,21.818588,0.0001693744
23.4475,23.68,23.147499,23.424999,21.686663,0.0002002988
23.547501,23.625,23.252501,23.497499,21.753786,0.0001614056
23.754999,24.2125,23.6525,24.16,22.367117,0.0001962316
24.1675,24.5525,24.0375,24.530001,22.709665,0.0001794528
24.709999,24.7225,24.022499,24.065001,22.279169,0.000156084
24.0,24.190001,23.950001,24.01,22.228251,0.00014149680000000002
24.077499,24.225,23.98,24.219999,22.422665,0.0001371232
24.1,24.125,23.637501,23.672501,21.915798,0.0001277704
23.495001,24.094999,23.33,24.025,22.242138,0.0001450228
24.012501,24.190001,23.8125,24.190001,22.394894,0.0001103308
24.299999,24.504999,24.145,24.227501,22.429607,0.0001159644
24.215,24.557501,24.1625,24.172501,22.378695,0.0001408652
24.4125,25.192499,24.355,25.1325,23.267452,0.0002016284
25.127501,25.2225,24.91,25.1875,23.318369,0.0001326784
25.145,25.4275,25.112499,25.375,23.491959,0.0001478228
25.592501,25.9375,25.342501,25.752501,23.841436,0.00018422040000000002
25.5975,25.7075,25.24,25.467501,23.577593,0.0001433156
25.195,25.440001,25.1,25.2575,23.383175,0.0001262476
25.327499,25.395,25.067499,25.280001,23.404005,0.00010880679999999999
25.352501,25.559999,25.0375,25.2925,23.415581,0.0001340544
25.559999,25.57,25.375,25.565001,23.667856,0.0001096328
25.477501,25.727501,25.445,25.629999,23.728031,0.0001003044
25.99,26.295,25.9625,26.145,24.204813,0.0001602708
26.1525,26.577499,26.147499,26.4925,24.526527,0.000153214
26.379999,26.6175,26.24,26.450001,24.487185,0.00013768279999999998
26.584999,26.625,26.297501,26.48,24.514957,0.00017682079999999998
26.4825,26.9125,26.285,26.477501,24.512644,0.00014201079999999998
26.3125,26.8225,26.3025,26.68,24.700111,0.00012977760000000002
26.620001,26.7675,26.475,26.532499,24.563555,0.000102814
26.3675,26.5625,26.2225,26.4175,24.457092,0.000104532
26.5,26.547501,26.264999,26.297501,24.345995,7.764560000000001e-05
26.2225,26.9475,26.219999,26.92,24.922306,0.0001247604
27.1625,27.605,27.15,27.389999,25.357428,0.0001824044
27.43,27.475,27.219999,27.247499,25.225496,0.0001035536
27.195,27.5,27.049999,27.497499,25.456949,0.000103496
27.605,28.047501,27.567499,27.780001,25.718485,0.0001494248
27.377501,27.682501,27.355,27.452499,25.415283,0.0001063148
27.557501,27.745001,27.299999,27.74,25.681454,0.0001056164
27.487499,27.605,27.030001,27.135,25.121351,0.0001272076
27.227501,27.442499,27.0425,27.165001,25.14912,9.43268e-05
27.2425,27.6525,27.2075,27.254999,25.232445,0.00011763
27.334999,27.625,27.165001,27.610001,25.561104,0.0001089292
27.700001,28.084999,27.700001,28.01,25.931416,0.0001330292
27.905001,28.0975,27.8325,28.025,25.945301,0.0001018956
28.0275,28.075001,27.432501,27.4625,25.424547,0.000187756
27.2225,27.237499,26.735001,26.870001,24.876019,0.000243286
26.969999,27.0,26.557501,26.727501,24.744089,0.0001295396
26.66,27.022499,26.514999,26.782499,24.795006,0.000122444
26.7325,26.7325,26.379999,26.4925,24.526527,0.00012621
26.252501,26.620001,26.155001,26.42,24.459412,0.0001347324
26.25,26.4125,26.127501,26.27,24.320543,0.0001121264
25.977501,26.325001,25.977501,26.0875,24.151581,0.0002240648
24.0,24.6775,23.92,24.455,22.640228,0.00045840839999999997
24.4025,24.469999,23.5625,23.7075,21.948198,0.0003289708
23.497499,23.68,23.127501,23.434999,21.695919,0.00027412599999999997
23.4925,23.52,23.1,23.41,21.672777,0.0001926404
23.549999,23.934999,23.42,23.795,22.029207,0.0002273252
23.799999,23.975,23.455,23.547501,21.800072,0.000164102
23.5,23.5175,23.17,23.309999,21.711586,0.00014356200000000002
23.342501,23.362499,22.9625,23.18,21.590502,0.0001747996
23.25,23.442499,23.147499,23.1975,21.6068,0.0001317456
23.3325,23.3925,23.0275,23.355,21.7535,0.0001347472
23.370001,23.3925,23.115,23.127501,21.541599,0.0001148764
23.18,23.195,22.3675,22.584999,21.036304,0.0003052588
22.5,22.9175,22.5,22.629999,21.078209,0.0001775712
23.0975,23.5975,22.9125,23.469999,21.860613,0.00024503919999999997
23.637501,23.674999,23.252501,23.372499,21.7698,0.0001876676
23.540001,23.8025,23.4725,23.639999,22.018957,0.0001682496
23.66,23.66,23.3925,23.549999,21.935129,0.0001217684
23.66,23.8575,23.629999,23.805,22.172644,0.000128104
23.967501,24.297501,23.9175,24.1075,22.454401,0.0001520744
24.305,24.522499,24.209999,24.475,22.796701,0.0001405608
24.6675,24.934999,24.5275,24.905001,23.197218,0.0001526752
24.92,25.182501,24.66,25.102501,23.381178,0.0002253248
24.860001,25.1175,24.8125,25.0875,23.367199,0.00014536480000000001
24.9,25.1,24.705,24.965,23.253099,0.0001692288
24.754999,24.885,24.5825,24.615,22.927105,0.0001166932
24.4,24.459999,24.157499,24.43,22.754784,0.0001607664
24.4475,24.567499,24.362499,24.48,22.801361,0.0001140196
24.497499,25.4725,24.387501,24.657499,22.966686,9.317e-05
24.8125,24.967501,24.74,24.7575,23.059826,8.963800000000001e-05
24.754999,24.889999,24.67,24.735001,23.038874,8.339239999999999e-05
